[main_menu]|en|fi|pt|ru|zh|ja|ko|de
quest_halloween_7|Damien approached me and it sounded like thousand heads were yelling at me. I have something for you to shut those heads up!|Damien lähestyi minua ja se kuulosti siltä kuin tuhat päätä olisi huutanut minulle. Minulla on sinulle jotain, jolla tukkia ne päät!|Damien se aproximou de mim e parecia que milhares de cabeças estavam gritando comigo. Eu tenho algo para você calar a boca!|Дэмиен мне окружил... казалось, тысячи голов кричали на меня!... Вот, у меня есть кое-что, что поможет его заткнуть.|达米安走近我， 这听起来像万头都在我吼。 我有东西给你关闭那些头了！|ダミアンは私に近づき、 私に叫んでたことは千頭のように聞こえました。 私はあなたがそれらの頭を黙ら せのために何かを持っています！|데미안이 나에게 접근과 천과 같은 머리 소리지르 된 소리가났다. 나는 당신이 그 머리를 종료 할 뭔가가있다!|Damien kam auf mich zu und es klang als ob mich tausend Köpfe anbrüllen würden. Ich habe etwas für Sie, um die Köpfe ruhig zu stellen!
quest_halloween_next|Next quest is ready in|Seuraava tehtävä on valmiina:|A próxima missão está pronta:|Следующая задача готова|接下来的任务是准备：|次の作業は準備ができています：|다음 작업은 준비가되어 있습니다:|Nächste Quest verfügbar in:
[Short stat names]||||||||
stat_movement_speed|Movement Speed|Liikkumisnopeus|Velocidade|Скор. Передвиж.|移动速度|移動速度|이동 속도|Geschwindigkeit
stat_ruby_drops|Ruby Drops|Lisää Rubiineja|Mais Rubis|Выпад. Рубинов|更红宝石|より多くのルビー|더 루비|Rubindrops
stat_experience|Experience|Kokemusta|Experiência|Ув. получ. Опыта|经验|経験|경험|Erfahrung
||||||||
[Loot names]||||||||
loot_body_part|Body part|Ruumiinosa|Parte do Corpo|Часть Тела|身体的一部分|ボディ部|신체 부위|Körperteil
loot_brick|Brick|Tiili|Tijolo|Кирпич|砖|煉瓦|벽돌|Backstein
loot_christmas_star|Christmas Star|Joulutähti|Estrela de Natal|Рождественская Звезда|圣诞星|クリスマスの星|크리스마스 스타|Weihnachtsstern
loot_christmas_tree|Christmas Tree|Joulukuusi|Árvore de Natal|Рождественская Елка|圣诞树|クリスマスツリー|크리스마스 트리|Weihnachtsbaum
loot_coffee_beans|Coffee Beans|Kahvipavut|Grãos de café|Кофейные Зерна|咖啡豆|コーヒー豆|커피 콩|Kaffeebohnen
loot_coffee_mug|Coffee Mug|Kahvimuki|Coffee Mug|Coffee Mug|Coffee Mug|Coffee Mug|Coffee Mug|Kaffeetasse
loot_mystery_hat|Mystery Hat|Mysteerihattu|chapéu mistério|Таинственная Шляпа|神秘的帽子|ミステリー帽子|미스터리 모자|Mysteriöser Hut
loot_mystery_wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mystery Wings|Mysteriöse Flügel
loot_pile_of_socks|Pile of Socks|Sukkakasa|Pilha de Meias|Кучка Носков|一堆袜子|靴下の山|양말의 더미|Stapel von Socken
loot_snowman_head|Snowman's Head|Lumiukon Pää|Cabeça do boneco de neve|Голова Снеговика|雪人的头|雪だるまの頭|눈사람의 머리|Schneemann-Kopf
loot_skeleton_bone|Skeleton Bone|Luurankon Luu|Osso Esqueleto|Кость Скелета|骷髅骨|スケルトンの骨|골격 뼈|Skelett Knochen
loot_bards_guitar|Bard's Guitar|Bardin Kitara|Guitarra do Bardo|Гитара Барда|吟游诗人的吉他|バードのギター|음유 시인의 기타|Bardengitarre
loot_moonshine|Moonshine|Pontikka|Luar|Самогон|空想|狂想|달빛|schwarzgebrannter Schnaps
loot_beer|Beer|Kalja|Cerveja|Пиво|啤酒|ビール|맥주|Bier
loot_wine|Wine|Viini|Vinho|Вино|葡萄酒|ワイン|포도주|Wein
loot_grapes|Grapes|Rypäleet|Uvas|Виноград|葡萄|葡萄|포도|Trauben
loot_metal_debris|Metal Debris|Metallipirstaleet|Detritos de Metal|Металлические Обломки|金属碎片|金属の破片|금속 파편|Metalltrümmer
loot_essence|Essence|Esanssi|Essência|Эссенция|本质|エッセンス|본질|Essenz
||||||||
[Statistics]||||||||
stat_0|How many attacks you do per second.|Kuinka monta hyökkäystä teet sekunnissa.|Quantos ataques você faz por segundo.|Количество Атак в секунду|您每秒进行多少次攻击。|1秒あたりの攻撃数。|초당 몇 번의 공격을합니까?|Wie viele Angriffe machst du pro Sekunde?
stat_1|How much your attack speed is increased|How much your attack speed is increased|How much your attack speed is increased|How much your attack speed is increased|How much your attack speed is increased|How much your attack speed is increased|How much your attack speed is increased|Um wieviel deine Angriffsgeschwindigkeit erhöht ist
stat_2|How fast you move.|Kuinka nopeasti liikut.|Quão rápido você se move.|С какой скоростью движется твой персонаж|您的移动速度有多快。|どれだけ速く動くか。|얼마나 빨리 움직입니다.|Wie schnell du dich bewegst.
stat_3|$|$|$|$|$|$|$|$
stat_4|Strength increases your Basic Attack damage.|Vahvuus lisää hyökkäyksen aiheuttamaa vaurioita.|Força aumenta o dano do Ataque Básico.|Атрибут. Увеличивает урон Базовой Атаки.|力量会增加您的基础攻击伤害。|強さはベーシックアタックのダメージを増やします。|힘은 기본 공격 데미지를 증가시킵니다.|Stärke erhöht den Schaden durch Grundangriffe.
stat_5|Energy increases your Mana Regeneration and Maximum Mana.|Energia lisää Mana-regeneraatiota ja maksimaalista Mana-arvoa.|Energia aumenta sua regeneração de mana e mana máxima.|Атрибут. Увеличивает максимум Маны и Восстановление Маны.|能量会增加您的法力回复和最大法力值。|エネルギーはあなたのマナ再生と最大マナを増やします。|에너지는 마나 재생과 최대 마나를 증가시킵니다.|Energie erhöht deine Manaregeneration und maximales Mana.
stat_6|Armor increases your flat Damage Reduction from all sources.|Panssari lisää tasaista vaurioiden vähentämistä kaikista lähteistä.|A armadura aumenta sua redução de dano plana de todas as fontes.|Атрибут. Увеличивает Снижение Урона.|护甲从所有来源增加单位降低的伤害。|アーマーは、すべてのソースからのフラットなダメージ減少を増加させます。|갑옷은 모든 소스에서 평평한 피해 감소를 증가시킵니다.|Rüstung erhöht deine flache Schadensreduzierung von allen Quellen.
stat_7|Stamina increases your Health Regeneration and Maximum Health.|Kestävyys lisää terveyden palautumista ja maksimaalista terveyttä.|Vigor aumenta sua Regeneração de Vida e Vida Máxima.|Атрибут. Увеличивает максимум Здоровья и Восстановление Здоровья.|耐力可以使您的健康恢复和最大健康。|スタミナはあなたの健康再生と最大健康を増加させます。|체력은 체력 재생과 최대 체력을 증가시킵니다.|Ausdauer erhöht deine Lebensregeneration und maximalen Lebenspunkte.
stat_8|Increases your Strength, Energy, Armor and Stamina.|Lisää voimaa, energiaa, panssaroita ja kestävyyttä.|Aumenta sua força, energia, armadura e resistência.|Увеличивает ваши Атрибуты: Силу, Энергию, Броню и Выносливость.|增加您的力量，能量，护甲和耐力。|あなたの強さ、エネルギー、鎧、スタミナを増やします。|힘, 에너지, 방어구 및 체력이 증가합니다.|Erhöht deine Stärke, Energie, Rüstung und Ausdauer.
stat_9|Increases all of your talent levels that have a base point put into them.|Korottaa kaikkia lahjakkuustasojasi, joille on asetettu tukipiste.|Aumenta todos os seus níveis de talento que têm um ponto base neles.|Увеличивает уровни всех Талантов, в которые было вложено хотя бы одно очко.|提高您所有具有基点的才能水平。|ベースポイントが設定されているすべての才能レベルを向上させます。|기준점이있는 모든 재능 레벨이 증가합니다.|Erhöht alle Talentstufen, denen ein Basispunkt zugewiesen wurde.
stat_10|$|$|$|$|$|$|$|$
stat_11|How much damage your Basic Attacks inflict.|Kuinka paljon vahinkoa perushyökkäyksillesi on.|Quanto dano seus ataques básicos causam.|Урон Базовой Атаки|您的基本攻击造成的伤害是多少。|基本攻撃が与えるダメージの大きさ。|기본 공격의 피해량|Wie viel Schaden Basisangriffe verursachen
stat_12|Increases Basic Attack damage.|Lisää vauriota perushyökkäyksiin.|Aumenta o dano do Ataque Básico.|Увеличивает урон Базовой Атаки|增加基本攻击伤害。|基本攻撃ダメージが増加します。|일반 공격력이 증가합니다.|Erhöht den Grundangriffsschaden.
stat_13|Increases Ability Attack damage.|Lisää vauriota taitohyökkäyksiin.|Aumenta o dano do Ataque de Habilidade.|Увеличивает урон Способностей|增加技能攻击伤害。|アビリティアタックのダメージが増加します。|어빌리티 공격 데미지가 증가합니다.|Erhöht den Schaden durch Fähigkeitsangriffe.
stat_14|How much more damage your Critical Attacks inflict.|Kuinka paljon enemmän vaurioita kriittiset hyökkäyksesi aiheuttavat.|Quanto mais dano seus ataques críticos causam.|Множитель Критического Урона|您的暴击造成的伤害是多少。|あなたのクリティカルアタックが与えるダメージの量。|치명타 공격의 피해량|Wie viel mehr Schaden kritischen Angriffe verursachen
stat_15|How much chance per impact you have to inflict a Critical Attack.|Kuinka paljon mahdollisuuksia iskua kohden sinun on aiheutettava kriittinen hyökkäys.|Quanta chance por impacto você tem de infligir um Ataque Crítico.|Шанс при попадании нанести Критический Урон|每次攻击您有多少机会造成暴击。|クリティカルアタックを与えるために、インパクトごとにどのくらいの確率で。|치명타를 가할 확률은 얼마나 될까요?|Chance pro Treffer einen kritischen Angriff auszuführen
stat_16|Increases the damage of your Physical based attacks and abilities.|Lisää fyysisiin hyökkäyksiin ja kykyihin kohdistuvia vahinkoja.|Aumenta o dano de seus ataques e habilidades físicos.|Увеличивает Физический Урон Атак и Талантов.|增加基于物理的攻击和技能的伤害。|物理ベースの攻撃と能力のダメージを増やします。|물리 기반 공격 및 능력의 공격력이 증가합니다.|Erhöht den Schaden deiner physischen Angriffe und Fähigkeiten.
stat_17|Increases the damage of your Magic based attacks and abilities.|Lisää taikuuteen perustuvien hyökkäysten ja kykyjen vaurioita.|Aumenta o dano dos seus ataques e habilidades baseados em Magia.|Увеличивает Магический Урон Атак и Талантов.|增加基于魔法的攻击和技能的伤害。|マジックベースの攻撃と能力のダメージを増やします。|마법 기반 공격 및 능력의 공격력이 증가합니다.|Erhöht den Schaden deiner magischen Angriffe und Fähigkeiten.
stat_18|Increases the damage of your Wind based attacks and abilities.|Lisää tuulipohjaisten hyökkäysten ja kykyjen vaurioita.|Aumenta o dano dos seus ataques e habilidades baseados no vento.|Увеличивает Урон Ветром Талантов и Атак.|增加基于风的攻击和技能的伤害。|風力ベースの攻撃と能力のダメージを増やします。|바람 기반 공격 및 능력의 공격력이 증가합니다.|Erhöht den Schaden deiner windbasierten Angriffe und Fähigkeiten.
